# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Nov 13 03:38:56 2024
# Radiative transfer took 21.076 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2
1.600370000e+00 6.42390e-01 9.99785e-01 6.42528e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600380000e+00 8.56002e-01 9.99792e-01 8.56180e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600390000e+00 9.30493e-01 9.99792e-01 9.30687e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600400000e+00 9.60083e-01 9.99787e-01 9.60289e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600410000e+00 9.73938e-01 9.99776e-01 9.74157e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600420000e+00 9.81325e-01 9.99756e-01 9.81564e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600430000e+00 9.85660e-01 9.99725e-01 9.85932e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600440000e+00 9.88369e-01 9.99687e-01 9.88679e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600450000e+00 9.90139e-01 9.99660e-01 9.90477e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600460000e+00 9.91315e-01 9.99633e-01 9.91680e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600470000e+00 9.92054e-01 9.99571e-01 9.92481e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600480000e+00 9.92431e-01 9.99456e-01 9.92973e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600490000e+00 9.92509e-01 9.99306e-01 9.93199e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600500000e+00 9.92643e-01 9.99219e-01 9.93420e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600510000e+00 9.92631e-01 9.99163e-01 9.93464e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600520000e+00 9.92317e-01 9.98999e-01 9.93313e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.600530000e+00 9.91813e-01 9.98832e-01 9.92975e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.600540000e+00 9.91055e-01 9.98628e-01 9.92419e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.600550000e+00 9.90025e-01 9.98442e-01 9.91573e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99997e-01 1.00000e+00 1.00000e+00
1.600560000e+00 9.89085e-01 9.98803e-01 9.90274e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99996e-01 1.00000e+00 1.00000e+00
1.600570000e+00 9.87106e-01 9.99205e-01 9.87896e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99995e-01 1.00000e+00 1.00000e+00
1.600580000e+00 9.84979e-01 9.99418e-01 9.85560e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99993e-01 1.00000e+00 1.00000e+00
1.600590000e+00 9.82225e-01 9.99522e-01 9.82706e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01 1.00000e+00 1.00000e+00
